First,Last,Player,Team,Season,Min,Pos,Shots,SoT,Dist,Solo,Goals,xG,xPlace,G-xG,KeyP,Dist.key,Assts,xA,A-xA,xG+xA,xG/shot,xA/pass,G-xG/shot,A-xA/pass,Team/96,Min/96,Pos/96,Shots/96,SoT/96,Goals/96,xG/96,xPlace/96,G-xG/96,KeyP/96,Assts/96,xA/96,A-xA/96,xG+xA/96,extreme1,extreme2,plotnames
Josef,Martinez,Josef Martinez,ATL,2018,3053,F,97,54,12.62135475,0.24742268,31,29.231,-0.923304076,1.768538265,36,20.6213733,5,4.568987668,0.431012332,33.8004494,0.301355276,0.126916324,0.018232353,0.011972565,ATL,3053,F,3.050114641,1.698001965,0.974778906,0.919168138,-0.029032817,0.055610768,1.13200131,0.157222404,0.143669445,0.013552959,1.062837584,1969,1969,Martinez 2018
Sebastian,Giovinco,Sebastian Giovinco,TOR,2015,2894,F,181,71,24.37623629,0.397790055,22,18.006,0.914327869,3.993991018,62,14.3028391,13,9.252851377,3.747148623,27.25886036,0.099480713,0.149239538,0.022066249,0.060437881,TOR,2894,F,6.00414651,2.355217692,0.729785764,0.597296773,0.030330157,0.13248899,2.05666897,0.431237042,0.306936328,0.124300715,0.904233101,1960,1965,Giovinco 2015
Miguel,Almiron,Miguel Almiron,ATL,2018,2951,A,133,50,22.18823666,0.255639098,12,15.737,-0.975345133,-3.737003308,75,18.79884066,11,10.2831003,0.716899701,26.02010361,0.118323333,0.137108004,-0.028097769,0.009558663,ATL,2951,A,4.326668926,1.626567265,0.390376144,0.511945889,-0.031729289,-0.121569745,2.439850898,0.357844798,0.334523087,0.023321712,0.846468975,1950,1899,Almiron 2018
Bradley,Wright-Phillips,Bradley Wright-Phillips,NYRB,2015,2975,F,113,49,15.93449227,0.185840708,17,21.85,1.366554548,-4.849571034,37,21.45725647,6,3.947079165,2.052920835,25.7966502,0.193359036,0.106677815,-0.042916558,0.055484347,NYRB,2975,F,3.646386555,1.581176471,0.548571429,0.705061788,0.044097222,-0.156490359,1.19394958,0.193613445,0.127367933,0.066245513,0.832429721,1967,1951,Wright-Phillips 2015
Nemanja,Nikolic,Nemanja Nikolic,CHI,2017,3069,F,118,56,16.03109747,0.194915254,24,22.279,0.152868413,1.72142047,25,20.65430655,3,2.702416431,0.297583569,24.98099596,0.188801521,0.108096657,0.014588309,0.011903343,CHI,3069,F,3.691104594,1.751710655,0.750733138,0.696886163,0.004781808,0.053846975,0.782013685,0.093841642,0.084533065,0.009308577,0.781419228,1968,1968,Nikolic 2017
Alberth,Elis,Alberth Elis,HOU,2018,2587,A,101,45,15.00922311,0.138613861,11,16.034,0.241097334,-5.033547964,38,15.79973699,9,8.894336968,0.105663032,24.92788493,0.158748,0.234061499,-0.049837109,0.002780606,HOU,2587,A,3.747970622,1.669887901,0.40819482,0.594982839,0.008946789,-0.186788019,1.410127561,0.33397758,0.330056571,0.003921009,0.92503941,1956,1887,Elis 2018
David,Villa,David Villa,NYC,2015,2650,F,138,63,21.74204497,0.239130435,18,18.397,0.661240655,-0.396894253,51,21.07452186,5,6.046514149,-1.046514149,24.4434084,0.133310828,0.118559101,-0.002876045,-0.020519885,NYC,2650,F,4.999245283,2.282264151,0.652075472,0.666453528,0.023954378,-0.014378056,1.84754717,0.181132075,0.219043531,-0.037911456,0.885497059,1963,1955,Villa 2015
David,Villa,David Villa,NYC,2016,3039,F,166,66,19.36741815,0.210843373,23,19.777,-0.3150643,3.223423584,47,19.41348273,4,4.616443466,-0.616443466,24.39301988,0.119136003,0.098222201,0.019418214,-0.013115818,NYC,3039,F,5.243830207,2.084896347,0.726554788,0.624728969,-0.009952673,0.101825819,1.484698914,0.126357354,0.145830396,-0.019473041,0.770559364,1965,1966,Villa 2016
Gyasi,Zardes,Gyasi Zardes,CLB,2018,3135,F,90,40,13.09708401,0.233333333,19,20.591,1.116964089,-1.591317699,28,23.20731552,0,3.664423559,-3.664423559,24.25574126,0.228792419,0.13087227,-0.017681308,-0.13087227,CLB,3135,F,2.755980861,1.224880383,0.581818182,0.630547528,0.034203685,-0.048729346,0.857416268,0,0.112212013,-0.112212013,0.742759541,1966,1956,Zardes 2018
Kei,Kamara,Kei Kamara,CLB,2015,2890,F,135,57,15.28267661,0.125925926,22,19.659,-0.740840743,2.34090831,36,21.61742032,6,4.050195435,1.949804565,23.70928713,0.145622901,0.112505429,0.017340062,0.054161238,CLB,2890,F,4.484429066,1.893425606,0.730795848,0.653035572,-0.024609243,0.077760276,1.195847751,0.199307958,0.134539364,0.064768595,0.787574936,1964,1964,Kamara 2015
David,Villa,David Villa,NYC,2017,2684,F,136,55,21.48353496,0.294117647,22,16.001,1.856377817,5.999487693,64,19.23542358,5,6.942178093,-1.942178093,22.9426904,0.117650826,0.108471533,0.04411388,-0.030346533,NYC,2684,F,4.86438152,1.967213115,0.786885246,0.572298503,0.066398014,0.214586743,2.289120715,0.178837556,0.248304433,-0.069466877,0.820602935,1955,1962,Villa 2017
Sebastian,Giovinco,Sebastian Giovinco,TOR,2016,2542,F,176,57,25.0306968,0.363636364,17,16.051,-0.106943708,0.948841414,51,15.3676796,14,6.886983312,7.113016688,22.9381419,0.091199765,0.135038888,0.005391144,0.139470915,TOR,2542,F,6.646734854,2.15263572,0.642014162,0.606180655,-0.004038787,0.035833507,1.926042486,0.528717545,0.260090636,0.268626909,0.866271291,1957,1952,Giovinco 2016
Diego,Valeri,Diego Valeri,POR,2018,2939,A,86,29,22.08633636,0.302325581,10,12.417,-1.624717813,-2.417046462,100,16.21073259,10,10.44103533,-0.441035333,22.85808179,0.144384261,0.104410353,-0.028105191,-0.004410353,POR,2939,A,2.809118748,0.947260973,0.326641715,0.405592535,-0.053070061,-0.07895082,3.266417149,0.326641715,0.341047769,-0.014406054,0.746640304,1929,1860,Valeri 2018
Sebastian,Giovinco,Sebastian Giovinco,TOR,2018,2543,F,166,51,25.55756412,0.343373494,13,14.835,-0.857632361,-1.835075625,48,17.66708561,7,7.979798036,-0.979798036,22.81487366,0.089367925,0.166245792,-0.011054672,-0.020412459,TOR,2543,F,6.266614235,1.925285096,0.490758946,0.560034314,-0.032376212,-0.069275368,1.812033032,0.264254817,0.301242867,-0.03698805,0.861277181,1943,1921,Giovinco 2018
Carlos,Vela,Carlos Vela,LAFC,2018,2564,F,97,43,22.0759977,0.268041237,14,11.72,-1.971900658,2.279796474,80,17.46056908,10,9.978614455,0.021385545,21.69881798,0.12082684,0.124732681,0.023503056,0.000267319,LAFC,2564,F,3.631825273,1.609984399,0.524180967,0.438821973,-0.073830914,0.085358994,2.995319813,0.374414977,0.37361427,0.000800707,0.812436243,1922,1929,Vela 2018
Ola,Kamara,Ola Kamara,CLB,2017,3004,F,89,39,15.31180753,0.157303371,18,18.169,-0.598405274,-0.168679042,26,19.52803667,3,3.495819931,-0.495819931,21.66449897,0.204142461,0.134454613,-0.00189527,-0.019069997,CLB,3004,F,2.844207723,1.246338216,0.575233023,0.580623565,-0.019123471,-0.005390542,0.830892144,0.09587217,0.111717281,-0.015845111,0.692340846,1961,1954,Kamara 2017
Diego,Valeri,Diego Valeri,POR,2017,3002,A,93,39,20.94416494,0.279569892,21,13.881,4.033947784,7.118622842,68,18.89190246,9,7.61585006,1.38414994,21.49722722,0.14926212,0.111997795,0.076544332,0.020355146,POR,3002,A,2.974017322,1.247168554,0.671552298,0.44390813,0.129000329,0.227644168,2.1745503,0.287808128,0.243544839,0.044263289,0.687452969,1936,1961,Valeri 2017
Bradley,Wright-Phillips,Bradley Wright-Phillips,NYRB,2018,2702,F,82,37,15.45265843,0.134146341,20,15.897,2.557122886,4.102726105,38,18.09141621,7,5.579686673,1.420313327,21.47696057,0.193869194,0.14683386,0.050033245,0.037376666,NYRB,2702,F,2.913397483,1.314581791,0.710584752,0.564818021,0.090852627,0.145766731,1.350111029,0.248704663,0.198242014,0.05046265,0.763060035,1953,1959,Wright-Phillips 2018
Fanendo,Adi,Fanendo Adi,POR,2016,2816,F,88,36,13.882972,0.227272727,16,18.274,-2.911103003,-2.274128662,40,22.02868138,0,2.841816827,-2.841816827,21.11594549,0.207660553,0.071045421,-0.025842371,-0.071045421,POR,2816,F,3,1.227272727,0.545454545,0.622981659,-0.099242148,-0.077527113,1.363636364,0,0.096880119,-0.096880119,0.719861778,1962,1946,Adi 2016
Joao,Plata,Joao Plata,RSL,2017,2417,A,95,29,21.19277601,0.231578947,7,13.298,-4.419151978,-6.297627258,81,19.55504047,4,7.518095578,-3.518095578,20.81572284,0.139975024,0.092815995,-0.066290813,-0.043433279,RSL,2417,A,3.773272652,1.151841125,0.278030616,0.528163929,-0.175522793,-0.250133313,3.217211419,0.158874638,0.298608678,-0.13973404,0.826772607,1934,1771,Plata 2017
Ola,Kamara,Ola Kamara,CLB,2016,1979,F,80,37,14.84974988,0.1875,16,17.477,1.73002435,-1.476995056,16,15.28470374,2,2.883882374,-0.883882374,20.36087743,0.218462438,0.180242648,-0.018462438,-0.055242648,CLB,1979,F,3.880747852,1.794845882,0.77614957,0.847797638,0.083922354,-0.071648067,0.77614957,0.097018696,0.139895254,-0.042876558,0.987692892,1959,1943,Kamara 2016
Bradley,Wright-Phillips,Bradley Wright-Phillips,NYRB,2016,2899,F,104,54,15.63322619,0.105769231,24,17.026,5.621706732,6.974227309,36,19.77528401,4,2.986090213,1.013909787,20.0118629,0.163709353,0.08294695,0.067059878,0.028164161,NYRB,2899,F,3.443946188,1.788202829,0.794756813,0.563806202,0.186162072,0.230950611,1.192135219,0.132459469,0.098883981,0.033575488,0.662690182,1958,1967,Wright-Phillips 2016
Diego,Valeri,Diego Valeri,POR,2016,2770,A,111,37,24.3236906,0.333333333,14,10.697,1.257151692,3.303318983,86,16.67519634,6,9.289418326,-3.289418326,19.98609934,0.096366496,0.108016492,0.02975963,-0.03824905,POR,2770,A,3.846931408,1.282310469,0.485198556,0.370715299,0.043569156,0.114483257,2.980505415,0.207942238,0.32194374,-0.114001502,0.692659039,1907,1927,Valeri 2016
